"Specimen.ID","Year","Serotype","Region.Name","Equiv","Rslt","Concl","ConclPred"
"2012AM-2033",2012,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"2012AM-2034",2012,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"2012AM-2062",2012,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0117",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0234",2013,"I 4,[5],12:i:-","Region 10","=",1,"S",""
"2013AM-0249",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0379",2013,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"2013AM-0297",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-0298",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-0299",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-0324",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0335",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-0318",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-0319",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-0320",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-0462",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-0577",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0551",2013,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"2013AM-0590",2013,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"2013AM-0631",2013,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"2013AM-0663",2013,"I 4,[5],12:i:-","Region 5",">",8,"R",""
"2013AM-0681",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-0756",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0757",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0758",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0878",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-0879",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1115",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-0913",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1787",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-1002",2013,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"2013AM-1003",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-1004",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-1094",2013,"I 4,[5],12:i:-","Region 9","=",0.5,"S",""
"2013AM-1435",2013,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"2013AM-1202",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-1159",2013,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"2013AM-1279",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1239",2013,"I 4,[5],12:i:-","Region 7","=",1,"S",""
"2013AM-1661",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-1450",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1451",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1452",2013,"I 4,[5],12:i:-","Region 5","=",2,"S",""
"2013AM-1453",2013,"I 4,[5],12:i:-","Region 5","=",2,"S",""
"2013AM-1526",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-1491",2013,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"2013AM-2851",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-1708",2013,"I 4,[5],12:i:-","Region 5","=",2,"S",""
"2013AM-1709",2013,"I 4,[5],12:i:-","Region 5","=",2,"S",""
"2013AM-1710",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1833",2013,"I 4,[5],12:i:-","Region 1","=",1,"S",""
"2013AM-1653",2013,"I 4,[5],12:i:-","Region 10","=",1,"S",""
"2013AM-1654",2013,"I 4,[5],12:i:-","Region 10","=",1,"S",""
"2013AM-1639",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1640",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1860",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1861",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1862",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1863",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1864",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1678",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-1679",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-1680",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-1757",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-1962",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-1961",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-2950",2013,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"2013AM-2951",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-2153",2013,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"2013AM-2176",2013,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"2013AM-2311",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-2312",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-2253",2013,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"2013AM-2254",2013,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"2013AM-2255",2013,"I 4,[5],12:i:-","Region 2","=",2,"S",""
"2013AM-2256",2013,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"2013AM-2257",2013,"I 4,[5],12:i:-","Region 2","=",1,"S",""
"2013AM-2396",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-2228",2013,"I 4,[5],12:i:-","Region 6","=",1,"S",""
"2013AM-2418",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-2367",2013,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"2013AM-2368",2013,"I 4,[5],12:i:-","Region 8","=",1,"S",""
"2013AM-2551",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-2552",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-2639",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013K-1836",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-3210",2013,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"2013AM-3209",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-3211",2013,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2013AM-3212",2013,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"2013AM-2997",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-3007",2013,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2014AM-0078",2014,"I 4,[5],12:i:-","Region 3","=",1,"S",""
"2013AM-2873",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-2874",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-2914",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-3021",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-3022",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-3023",2013,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2013AM-3125",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-3126",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-3141",2013,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2013AM-3151",2013,"I 4,[5],12:i:-","Region 5","=",2,"S",""
"2014AM-0074",2014,"I 4,[5],12:i:-","Region 6","=",1,"S","NPR"
"2014AM-0095",2014,"I 4,[5],12:i:-","Region 3","=",1,"S","NPR"
"2014AM-0166",2014,"I 4,[5],12:i:-","Region 4","=",1,"S","NPR"
"2014AM-0222",2014,"I 4,[5],12:i:-","Region 2","=",2,"S",""
"2014AM-0393",2014,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2014AM-0394",2014,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2014AM-0395",2014,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
"2014AM-0396",2014,"I 4,[5],12:i:-","Region 4","=",1,"S",""
"2014AM-0501",2014,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2014AM-0564",2014,"I 4,[5],12:i:-","Region 3","=",1,"S","NPR"
"2014AM-0750",2014,"I 4,[5],12:i:-","Region 6","=",0.5,"S",""
"2014AM-0846",2014,"I 4,[5],12:i:-","Region 10","=",0.5,"S",""
"2014AM-0861",2014,"I 4,[5],12:i:-","Region 6","=",0.5,"S","NPR"
"2014AM-0833",2014,"I 4,[5],12:i:-","Region 8","=",0.5,"S","NPR"
"2014AM-1053",2014,"I 4,[5],12:i:-","Region 3","=",0.5,"S",""
"2014AM-1168",2014,"I 4,[5],12:i:-","Region 8","=",1,"S","NPR"
"2014AM-1076",2014,"I 4,[5],12:i:-","Region 9","=",1,"S",""
"2014AM-1171",2014,"I 4,[5],12:i:-","Region 3","=",1,"S","NPR"
"2014AM-1248",2014,"I 4,[5],12:i:-","Region 2","=",1,"S","NPR"
"2014AM-1384",2014,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2014AM-1385",2014,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"2014AM-1383",2014,"I 4,[5],12:i:-","Region 5","=",0.5,"S",""
"2014AM-1415",2014,"I 4,[5],12:i:-","Region 9","=",0.5,"S",""
"2014AM-1483",2014,"I 4,[5],12:i:-","Region 5","=",1,"S","NPR"
"2014AM-1482",2014,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2014AM-1481",2014,"I 4,[5],12:i:-","Region 5","=",1,"S",""
"2014AM-1227",2014,"I 4,[5],12:i:-","Region 5","=",0.5,"S","NPR"
"2014AM-1228",2014,"I 4,[5],12:i:-","Region 5","=",1,"S","NPR"
"2014AM-1229",2014,"I 4,[5],12:i:-","Region 5","=",1,"S","NPR"
"2014AM-1448",2014,"I 4,[5],12:i:-","Region 10","=",1,"S","NPR"
"2014AM-1449",2014,"I 4,[5],12:i:-","Region 10","=",0.5,"S","NPR"
"2014AM-1623",2014,"I 4,[5],12:i:-","Region 5","=",0.5,"S","NPR"
"2014AM-1624",2014,"I 4,[5],12:i:-","Region 5","=",0.5,"S","NPR"
"2014AM-1625",2014,"I 4,[5],12:i:-","Region 5","=",0.5,"S","NPR"
"2014AM-1579",2014,"I 4,[5],12:i:-","Region 9","=",2,"S","NPR"
"2014AM-1898",2014,"I 4,[5],12:i:-","Region 4","=",1,"S","NPR"
"2014AM-1730",2014,"I 4,[5],12:i:-","Region 4","=",0.5,"S",""
